TFRC,AKT1,PTPRC,label
24789.0,1309.0,76.0,1
11953.0,1648.0,100.0,1
11993.0,1309.0,64.0,1
7821.0,1816.0,73.0,1
6527.0,2542.0,49.0,1
10993.0,2883.0,110.0,1
12201.0,1637.0,94.0,1
14814.0,2330.0,425.0,1
6432.0,1605.0,107.0,1
10150.0,1811.0,114.0,0
8633.0,1453.0,87.0,0
10940.0,1724.0,91.0,0
8594.0,2565.0,98.0,0
10286.0,1947.0,155.0,0
8816.0,2028.0,143.0,0
5731.0,2218.0,178.0,0
9623.0,2221.0,159.0,0
13768.0,2330.0,132.0,0
16870.0,1742.0,155.0,0
9918.0,1918.0,78.0,0
15856.0,1796.0,84.0,0
8616.0,1940.0,132.0,0
11196.0,1638.0,74.0,0
21342.0,2290.0,290.0,0
7039.0,3130.0,154.0,0
14085.0,2767.0,101.0,0
12162.0,1810.0,175.0,0
8194.0,2093.0,174.0,0
12653.0,2078.0,132.0,0
11753.0,1573.0,135.0,0
7732.0,2133.0,156.0,0
11940.0,3281.0,205.0,0
6380.0,1604.0,82.0,0
9993.0,1780.0,151.0,0
6410.0,2189.0,100.0,0
23166.0,1892.0,115.0,0
12402.0,2180.0,112.0,0
13293.0,2651.0,115.0,0
8364.0,1843.0,133.0,0
12331.0,2001.0,142.0,0
10314.0,2854.0,144.0,0
87.0,51.0,1191.0,0
205.0,158.0,2194.0,0
1296.0,2525.0,127.0,0
1434.0,2860.0,776.0,0
2339.0,4409.0,305.0,0
1622.0,1742.0,527.0,0
883.0,1772.0,300.0,0
400.0,787.0,79.0,0
820.0,1658.0,254.0,0
757.0,1422.0,294.0,0
953.0,1552.0,250.0,0
272.0,1248.0,92.0,0
897.0,2187.0,172.0,0
424.0,1112.0,312.0,0
2513.0,2728.0,700.0,0
2979.0,5483.0,618.0,0
1643.0,1637.0,1285.0,0
1441.0,4166.0,1463.0,0
2508.0,4172.0,397.0,1
842.0,2693.0,249.0,1
1736.0,1696.0,1399.0,1
4261.0,2474.0,2770.0,1
1899.0,3364.0,1748.0,1
1874.0,4586.0,1527.0,1
709.0,1643.0,274.0,1
1498.0,1875.0,362.0,1
3724.0,3456.0,1377.0,1
1578.0,2959.0,773.0,1
1488.0,2109.0,806.0,1
1489.0,3197.0,319.0,1
769.0,1701.0,627.0,1
647.0,1141.0,220.0,1
2320.0,3760.0,397.0,1
1927.0,2327.0,1871.0,1
3216.0,3753.0,3050.0,1
3220.0,3882.0,1595.0,1
672.0,1961.0,138.0,1
1073.0,3585.0,2381.0,1
999.0,3103.0,257.0,1
4242.0,4380.0,2397.0,1
1708.0,3516.0,633.0,1
803.0,2951.0,156.0,1
6485.8741,2835.179,29991.2696,0
5598.5445,2064.1461,23838.3331,0
8652.1166,2358.4907,24145.9655,0
8964.1293,3697.4095,32247.7695,0
8381.8691,2843.0295,25459.001,0
7397.7747,3323.0056,35612.6032,0
16504.8242,4618.0657,27064.3918,0
15333.2162,3757.3678,21807.7039,0
15784.9233,3671.4634,29596.3661,0
3548.2721,3622.0924,40002.727,2
1676.4848,2235.468,32317.8748,2
2331.3312,2919.8983,29383.4827,2
1098.8546,1419.9779,28249.0172,2
4586.9919,3555.4662,38729.9012,2
1830.1159,1613.7202,27639.3054,2
2850.8754,2531.0877,26813.4456,2
1763.2367,2427.2136,41213.3923,2
2295.9857,2976.783,27156.7399,2
1643.961,1877.8123,24964.3957,2
1906.309,2906.7327,27780.7886,2
1115.4078,2092.8988,35242.1865,2
2860.2538,3275.4374,24011.0452,2
1775.7455,2724.5519,22724.9604,2
2270.1944,2986.5187,21496.405,2
1601.9934,2496.5387,37283.7432,2
1657.8415,2793.6834,16930.8375,2
3208.0244,2977.726,19816.4435,2
3466.8012,3485.0366,27581.717,2
2054.8354,3320.1032,42327.2139,2
6077.5237,7734.0493,71384.3126,2
11001.5843,9891.9498,79568.1297,2
12118.2072,7025.1705,55475.5047,2
4326.9665,5842.7436,66338.8459,2
4364.3194,6055.0329,46757.9121,2
9014.8744,8254.6745,54198.2205,2
12572.6551,7173.4691,41171.1541,2
3945.69,6180.869,60111.8197,2
5736.877,7665.7657,43650.7805,2
7293.6233,8463.3782,46349.4314,2
14945.3206,6551.5467,31560.4785,2
5988.4698,5018.3105,36069.082,2
4907.4477,5622.9108,38016.8254,2
7285.8046,5796.2202,34409.7458,2
18128.8053,10057.0499,55264.0682,2
6123.2177,8235.3035,63398.5687,2
143.8604,141.3257,1204.352,0
88.4675,92.8661,506.9188,0
213.5015,261.5498,308.9496,0
288.581,194.2101,2385.0887,0
137.3457,34.1372,172.2294,2
412.7076,136.4014,948.0682,2
560.0929,94.3151,719.0794,2
1122.3357,82.9121,6493.2802,2
1113.9217,212.1578,10134.8315,2
2227.939,333.1959,7564.1141,2
1148.0599,233.1006,5250.8106,2
328.8959,152.6896,5588.7396,2
2313.2725,356.5533,13359.0313,2
2356.5125,216.3074,7004.4472,2
874.45,300.492,6941.551,2
381.0564,373.7959,4046.2216,2
2254.5886,260.6287,15172.9951,2
1668.8087,287.2761,11292.0647,2
1570.4906,238.777,9261.7605,2
508.8588,418.1666,9213.8872,2
210.0919,235.1055,136.6763,0
125.08,151.1973,159.1781,0
384.9039,230.5242,158.8566,0
336.7502,268.8419,53.1328,0
340.3424,206.3955,1556.5121,0
187.5467,89.1814,1253.2251,0
275.9175,152.0235,88.1859,0
266.667,258.0888,121.8965,0
320.2531,368.959,507.3232,0
89.4294,546.2868,154.7533,0
294.6377,200.8075,33.1867,0
331.1211,406.8155,534.2803,0
1096.0,838.0,14.0,0
2616.0,1259.0,39.0,0
439.0,1190.0,26.0,0
1134.0,927.0,18.0,0
645.0,968.0,14.0,0
521.0,1033.0,100.0,3
632.0,1656.0,107.0,3
510.0,954.0,79.0,3
513.0,1744.0,129.0,3
505.0,1213.0,244.0,3
1336.0,1678.0,255.0,3
497.0,1529.0,353.0,3
482.0,1420.0,71.0,3
372.0,1131.0,113.0,3
417.0,1311.0,68.0,0
1658.0,1537.0,12.0,0
1715.0,1408.0,12.0,0
1024.0,1189.0,40.0,0
2830.0,2242.0,17.0,0
546.0,1308.0,44.0,0
340.0,1386.0,46.0,3
553.0,1122.0,66.0,3
663.0,959.0,96.0,3
236.0,866.0,65.0,3
478.0,1637.0,69.0,3
1156.0,1755.0,195.0,3
763.0,2068.0,609.0,3
262.0,1355.0,56.0,3
332.0,1398.0,59.0,3
349.0,1175.0,83.0,3
1178.0,940.0,2632.0,0
399.0,162.0,318.0,0
620.0,272.0,430.0,0
1302.0,375.0,343.0,0
2712.0,388.0,275.0,0
849.0,238.0,259.0,0
922.0,115.0,135.0,4
723.0,74.0,200.0,4
554.0,114.0,536.0,4
